name,rating,position,ver,ps_price,skills,weak_foot,work_rate,pac,sho,pas,dri,def,phy,hei,popularity,base_stats,in_game_stats,wei,ps
Lionel Messi,94,RW,Normal,650K,4,4,M  L,87,92,92,96,39,66,170,6599,472,2297,72,650000
Cristiano Ronaldo,93,ST,Normal,660K,5,4,H  L,90,93,82,89,35,78,187,4580,467,2265,83,660000
Neymar Jr,92,LW,Normal,570K,5,5,H  M,91,85,87,95,32,58,175,6948,448,2197,68,570000
Kevin De Bruyne,91,CAM,Normal,93K,4,5,H  H,76,86,92,87,61,78,181,3282,480,2311,70,93000
Eden Hazard,91,LW,Normal,102K,4,4,H  M,91,83,86,94,35,66,175,2788,455,2191,74,102000
Jan Oblak,91,GK,Normal,59.5K,1,3,M  M,87,92,78,89,50,90,188,1064,479,1044,87,59500
Marc-Andre ter Stegen,90,GK,Normal,44K,1,4,M  M,88,85,88,90,43,88,187,4296,482,1073,85,44000
Mohamed Salah,90,RW,Normal,64.5K,4,3,H  M,93,86,81,89,45,74,175,3570,468,2228,71,64500
Virgil van Dijk,90,CB,Normal,303K,2,3,M  M,77,60,70,72,90,86,193,4736,455,2130,92,303000
Luka Modric,90,CM,Normal,52K,4,4,H  H,74,76,89,90,72,66,172,940,467,2308,66,52000
Giorgio Chiellini,89,CB,Normal,38K,2,3,M  H,68,46,58,62,90,82,187,358,406,1915,85,38000
De Gea,89,GK,Normal,37K,1,3,M  M,90,84,81,92,57,85,192,1562,489,1109,82,37000
Sergio Aguero,89,ST,Normal,39K,4,4,H  M,80,90,77,88,33,74,173,3905,442,2161,,39000
Luis Suarez,89,ST,Normal,38K,3,4,H  M,73,89,80,84,51,84,182,1671,461,2250,86,38000
Sergio Busquets,89,CDM,Normal,38.75K,3,3,M  M,42,62,80,81,85,80,189,-170,430,2090,76,38750
N'Golo Kante,89,CDM,Normal,140K,2,3,M  H,78,65,77,81,87,83,168,5374,471,2209,72,140000
Robert Lewandowski,89,ST,Normal,39K,4,4,H  M,77,87,74,85,41,82,184,1397,446,2181,80,39000
